bankCode,bankName,dest
221333,GTI MFB,C:/python_work/bvn_user_actitities/destination/
221345,Baobab MicroFinance Bank,C:/python_work/bvn_user_actitities/destination/
221456,FIRST MARINA TRSUT LTD,C:/python_work/bvn_user_actitities/destination/
222111,del_TAJBank,C:/python_work/bvn_user_actitities/destination/
222456,LETSHEGO MFB,C:/python_work/bvn_user_actitities/destination/
232001,Lavender Microfinance Bank,C:/python_work/bvn_user_actitities/destination/
232012,IZON MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
232022,Central Securities Clearing System Plc,C:/python_work/bvn_user_actitities/destination/
232080,AMAC MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
232120,UMUNNACHI MFB,C:/python_work/bvn_user_actitities/destination/
232123,MANNY MFB,C:/python_work/bvn_user_actitities/destination/
232134,CHIBUEZE MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
232333,LANDGOLD MFB LTD,C:/python_work/bvn_user_actitities/destination/
232345,CALABAR MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
232415,Nigerian Stock Exchange,C:/python_work/bvn_user_actitities/destination/
232999,BERACHAH MFB,C:/python_work/bvn_user_actitities/destination/
251433,ITEX INTEGRATED SERVICES,C:/python_work/bvn_user_actitities/destination/
252022,CENTRAL SECURITIES CLEARING SYSTEM PLC,C:/python_work/bvn_user_actitities/destination/
252525,PIVOT CAPITAL LIMITED,C:/python_work/bvn_user_actitities/destination/
254710,Topmost Securities Limited,C:/python_work/bvn_user_actitities/destination/
255556,PREEMINENT MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
256487,NIRSAL MICRO FINANCE BANK,C:/python_work/bvn_user_actitities/destination/
256879,FUTO MFB,C:/python_work/bvn_user_actitities/destination/
258746,KadPoly Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
258796,Traders Trust Investment and Co ltd,C:/python_work/bvn_user_actitities/destination/
258974,Fina Trust Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
259746,UNN MFB,C:/python_work/bvn_user_actitities/destination/
